Fly Me to the Moon,Independent,18,26,Journey and Return,Animation,,,12.42,27.90,40.32,25.00,161.29%,1.9,,,,,$12423424,,32.6,$25000000,$25
Fool's Gold,Warner Bros.,11,53,Quest,Adventure,3125,6909,70.23,39.13,109.36,72.50,150.84%,21.6,,,,,$70231041,,110.6,$72500000,$72.5
Forgetting Sarah Marshall,Independent,85,75,maturation,Comedy,2798,6791,62.93,42.00,104.93,30.00,349.77%,17.73,,,,,$62932375,,$104.8,$30000000,$30
Four Christmases,Warner Bros.,26,52,love,Comedy,,,118.25,43.58,161.83,80.00,202.29%,31.07,,,,,$118254000,,$149.6,$80000000,$80
Get Smart,Warner Bros.,51,73,Pursuit,Action,3911,9891,130.32,100.37,230.69,80.00,288.36%,38.7,,,,,$130319208,,$230.5,80000000,80
Ghost Town,Paramount,85,60,transformation,Comedy,1505,3330,13.25,13.71,26.96,20.00,134.80%,5.01,,,,,$13252641,,24,$20000000,$20
Gran Torino,Warner Bros.,80,90,Temptation,Drama,,,148.10,121.86,269.96,33.00,818.05%,29.48,,,http://boxofficemojo.com/movies/?id=grantorino.htm,,$9700000,,,$167000000,$167
Hancock,Sony,40,67,Discovery,Action,3965,15789,227.95,396.44,624.39,150.00,416.26%,62.6,,,,,$227946274,,624.4,$150000000,$150
Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,escape,Adventure,2510,5939,38.11,5.38,43.49,12.00,362.44%,14.91,,,,,$38108728,,$43.3,$12000000,$12
Hellboy II: The Golden Army,Universal,87,70,sacrifice,Action,3204,10780,75.79,84.40,160.19,82.50,194.17%,34.5,,,,,$75791785,,$158.9,$82500000,$82.5
High School Musical 3: Senior Year,Disney,65,76,love,Comedy,3623,11601,89.70,162.35,252.04,11.00,2291.31%,42.03,,,,,$89695501,,$240.7,$11000000,$11
Igor,Independent,36,42,Temptation,Animation,2339,,19.44,11.22,30.66,30.00,102.21%,7.8,,,,,$19444296,,$27.6,$30000000,$30
In Bruges,Focus,81,85,Fish Out of Water,Crime,,,7.80,25.59,33.39,15.00,222.63%,0.46,,,http://www.the-numbers.com/movies/2008/BRUGE.php,,$7800824,,$32,,0
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,23507,317.02,469.53,786.56,185.00,425.17%,100.1,,,,,$317023851,,$786.6,$185000000,$185
Iron Man,Paramount,94,91,Metamorphosis,Action,4105,24024,318.31,266.76,585.07,186.00,314.56%,98.62,,,,,$318313199,,581.9,$186000000,$186
Journey to the Center of the Earth,Warner Bros.,61,55,Quest,Action,2811,7477,101.70,140.29,241.99,45.00,537.77%,21,,,,,$101704370,,$220.7,$45000000,$45
Jumper,Fox,16,50,Rescue,Action,3428,7980,80.17,142.06,222.23,82.50,269.37%,27.4,,,,,$80172128,,$222.2,$82500000,$82.5
Kit Kittredge: An American Girl,Warner Bros.,78,26,riddle,Drama,,,17.66,N/A,17.66,10.00,176.58%,3.3,,,,,$17657973,,$17.7,$10000000,$10
Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,14642,215.43,416.31,631.74,200.00,315.87%,60.24,,,,,$215434591,,$631.9,200000000,200
Lakeview Terrace,Sony,46,44,rivalry,Crime,2464,6090,39.26,5.39,44.65,20.00,223.27%,15,,,,,$39263506,,$43.8,$20000000,$20
Leatherheads,Universal,52,41,Rivalry,Comedy,2769,4580,31.23,9.93,41.16,58.00,70.96%,12.7,,,,,$31230175,,41,$58000000,$58
Mad Money,Independent,22,51,Comedy,Comedy,2470,3132,20.67,5.74,26.41,22.00,120.05%,7.74,,,,,$20668843,,$26.1,$22000000,$22
Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,15559,176.93,423.89,600.82,150.00,400.55%,63.11,,,,,$176934000,,$462.3,$150000000,$150
Made of Honor,Sony,13,61,Love,Comedy,2729,5407,46.01,59.95,105.96,40.00,264.91%,14.76,,,,,$46012734,,$106,$40000000,$40
Mamma Mia!,Universal,53,76,Love,Comedy,2976,9325,143.76,465.71,609.47,66.00,923.45%,27.75,,,,,$143762955,,$572.2,$66000000,$66
Marley and Me,Fox,63,77,love,Comedy,3480,10448,106.51,99.56,206.07,55.00,374.68%,36.36,,,,,$106510000,,$111.8,$55000000,$55
Max Payne,Fox,16,36,Revenge,Action,3376,5225,40.66,44.73,85.38,35.00,243.95%,17.6,,,,,$40656894,,$84.2,$35000000,$35
Meet Dave,Fox,19,42,Fish Out of Water,Adventure,3011,1744,11.80,38.85,50.65,60.00,84.42%,5.25,,,,,$11803254,,$50.5,$60000000,$60
Meet the Spartans,Independent,2,31,comedy,Comedy,2605,7104,38.23,46.41,84.65,30.00,282.16%,18.51,,,,,$38233676,,84.6,$30000000,$30
Milk,Universal,94,88,quest,Biography,36,40385,31.84,18.32,50.16,20.00,250.80%,1.5,"Best Actor, Original Screenplay",,http://www.the-numbers.com/movies/2008/HMILK.php,,$17124000,,,$20000000,$20
Miracle at St. Anna,Disney,34,68,quest,Action,1185,2935,7.92,1.20,9.12,45.00,20.26%,3.5,,,http://www.the-numbers.com/movies/2008/MSANA.php,,$7919117,,,$45000000,$45
Mirrors,Independent,14,49,monster force,Horror,2664,4190,30.69,46.80,77.49,35.00,221.40%,11.2,,,,,$30691439,,73.4,$35000000,$35
Miss Pettigrew Lives for a Day,Independent,78,70,Love,Comedy,535,4655,12.31,2.86,15.17,60.00,25.29%,2.49,,,,,$12313694,,,$60000000,$60
My Best Friend's Girl,Lionsgate,14,51,Comedy,Comedy,2604,3174,19.22,22.40,41.62,20.00,208.11%,8.27,,,,,$19219250,,36.2,$20000000,$20
Never Back Down,Summit,23,37,Rivalry,Action,2729,3152,24.85,16.78,41.63,21.00,198.22%,8.6,,,,,$24850922,,$41.6,$21000000,$21
Nick and Norah's Infinite Playlist,Sony,73,67,Love,Comedy,2421,4672,31.49,2.04,33.53,10.00,335.27%,11.31,,,,,$31487293,,$31.7,$10000000,$10
Nights in Rodanthe,Warner Bros.,31,56,Discovery,Drama,2704,4962,41.74,37.50,79.24,30.00,264.12%,13.42,,,,,$41736813,,$75.7,$30000000,$30
Nim's Island,Independent,51,50,rescue,Adventure,3513,3760,48.01,52.07,100.08,37.00,270.48%,13.2,,,,,$48006762,,$99.9,$37000000,$37
One Missed Call,Warner Bros.,0,36,Monster Force,Horror,2240,5585,26.89,17.62,44.51,20.00,222.55%,12.5,,,,,$26890041,,$44.5,$20000000,$20
Over Her Dead Body,New Line,15,47,Love,Comedy,,,7.57,13.14,20.71,10.00,207.10%,4.03,,,,,,,$20.9,$10000000,$10
Penelope,Summit,52,74,love,Comedy,,,10.01,10.73,20.74,15.00,138.28%,3.8,,,,,$10011996,,$20.8,$15000000,$15
Pineapple Express,Sony,68,74,Comedy,Action,3072,7567,87.34,14.28,101.62,26.00,390.86%,23.2,,,,,$87341380,,101.5,$26000000,$26
Pride & Glory,Warner Bros.,34,54,Temptation,Crime,2585,2423,15.74,15.41,31.15,30.00,103.83%,6.26,,,,,$15740721,,$23.8,$30000000,$30
Prom Night,Independent,8,46,escape,Horror,2700,7705,43.87,13.32,57.19,18.00,317.72%,20.81,,,,,$43869350,,57.2,$18000000,$18
Punisher: War Zone,Lionsgate,27,47,Revenge,Action,2508,1703,8.05,2.04,10.09,35.00,28.83%,4.3,,,http://boxofficemojo.com/movies/?id=punisher2.htm,,$8050977,,,$35000000,$35
Quantum of Solace,MGM,64,62,Revenge,Action,3451,19568,166.80,417.72,584.52,230.00,254.14%,67.5,,,http://www.the-numbers.com/movies/2008/JB22.php,,$166800000,,567,$230000000,$230
Quarantine,Sony,59,46,Monster Force,Horror,2461,5775,31.69,9.62,41.31,12.00,344.27%,14.2,,,http://boxofficemojo.com/movies/?id=rachelgettingmarried.htm,,$31691811,,37.2,$12000000,$12
Rachel Getting Married,Independent,85,61,love,Drama,9,32597,12.79,3.82,16.61,12.00,138.42%,0.29,,,http://www.the-numbers.com/movies/2008/RGMRD.php,,$10326000,,,$12000000,$12
Rambo,Lionsgate,36,70,Rescue,Action,2751,6617,42.75,70.49,113.24,47.50,238.41%,18.2,,,http://boxofficemojo.com/movies/?id=rambo08.htm,,$42754105,,113.2,$47500000,$47.5
